player,elo
Harry Ward,1745.334045708161
Lorraine Hyde,1744.9961384493868
Derek Coulson,1744.3452710476563
Graham Usher,1744.1506268932676
Brandon Weening,1744.1143858426512
Robbie Green,1744.0847725491592
Arno Merk,1743.9452598497835
Jack Main,1743.3080834823115
Dennis Nilsson,1743.1213552915558
Lee Evans,1741.8582601561309
Jesús Noguera,1741.8051214639938
Natalie Gilbert,1741.7015411270588
Jan Dekker,1741.0658431633483
Josh Payne,1741.0402657922164
Vladimir Andersen,1740.554704767095
Scott Taylor,1740.543836003693
David Fidler,1740.4850184785237
Daniel Perry,1739.2223347578179
Roman Benecky,1739.1948348528301
Simon Whitlock,1739.1521682992327
Marvin Kraft,1738.963378301376
Kevin Painter,1738.9285909589266
Steve Haggerty,1738.8053447332982
Nico Kurz,1738.5823771164835
Jon-Sebastian Wright,1738.4672354559038
Koha Kokiri,1738.009783803943
Neuza Araujo,1737.9276835365968
Dave Parletti,1737.362062508264
Lewis Gurney,1737.3609765767349
Anthony Fleet,1736.639190716102
Shaun Carroll,1736.6040605971414
Geoff Kime,1736.2876266754658
Harrison Leigh,1735.8556430864464
Conan Whitehead,1735.3573763176498
Louis Blundell,1735.123286006863
Adam Paxton,1734.395016903454
Keenan Thomas,1734.236202803684
Bernie Smith,1734.2200071375319
Tuhuna Irwin,1734.1068901220585
Dave Prins,1733.8585441001283
Justin Miles,1733.8520754912245
Keelan Kay,1733.779938996931
Sophie McKinlay,1733.6428778739112
Tony Eccles,1733.2533612287068
Mark McGeeney,1733.1900378069338
Samuel Price,1732.4231091955185
Yoeri Duijster,1731.9699533404053
Felix McBrearty,1731.58505922222
Danny Lauby II,1731.2649035937322
Colin McGarry,1731.1585969413316
Jeffrey Sparidaans,1731.1216064766556
Chas Barstow,1730.8811058571107
Luc Peters,1730.7694112053464
Kai Gotthardt,1730.4277312923036
Erik Clarys,1730.264096272028
Niall Culleton,1729.6710950524346
Ross Montgomery,1728.9981368027386
Katie Sheldon,1728.8356733994326
England,1728.7843788305934
Tom Sawyer,1728.6710969154876
Noel Malicdem,1728.5033869384765
Roland Scholten,1728.1820559005412
Jaime Nunez Cortes,1727.8013878564173
Lee Davies,1727.5679830739787
Grant Brown,1727.0326765950617
Davy Proosten,1726.6908736907178
Paul Jennings,1726.6494436077069
Colin Osborne,1726.5300680506907
Joe Croft,1726.3126898318526
James Keogh,1725.931293376034
Laurin Welk,1725.337710479168
Michael Warburton,1725.143007370089
Benjamin Reus,1725.1156055121287
Adam Huckvale,1725.092467712718
Stefaan Henderyck,1724.3421901497431
Ricky Williams,1724.1913569579167
Darren Armstrong,1723.9613851505521
John Weber,1723.9195856874323
Carl Sneyd,1723.6799741628945
Shaun Narain,1723.2356743776475
Almudena Fajardo,1722.9725954339806
Simon Stevenson,1722.9000208264376
Tomas Houdek,1722.643882574413
Lukasz Sawicki,1722.6430095509893
Rusty-Jake Rodriguez,1722.609553572105
James-Howard Hughes,1722.0763653571146
Alex Roy,1721.891288788376
Connie Finnan,1721.875431586873
Danny Jansen,1721.7731361371943
Royden Lam,1721.761671361996
Tavis Dudeney,1721.7327942181064
Curtis Hammond,1721.4561195982512
Shaun McDonald,1721.3913790862837
Nunjo Dewaele,1721.2989334146873
Lerena Rietbergen,1721.2900297533852
Scott Dale,1720.5022667612957
Oskar Lukasiak,1720.3588851226632
Owen Roelofs,1720.264884100443
Andree Welge,1719.9887989544764
Ryan Hogarth,1719.5343193732924
Herbie Nathan,1717.7103633098325
David Copley,1717.6770078479517
Lok-Yin Lee,1717.1917658754237
Owen Maiden,1716.9844535078332
Wayne Warren,1716.7425844068841
Johan Engstrom,1716.5085852416064
Rob Smith,1716.1724379981847
Benjamin Pratnemer,1716.1466560125152
Mark McGrath,1715.9560334225914
Anca Zijlstra,1715.6885943779248
Jordan Brooks,1715.383200434526
Jimmy Mann,1715.0890126931724
Tom Lonsdale,1714.9034637373263
Damian Mol,1714.8685914840505
Joe Davis,1714.860826576579
Lewis Williams,1714.835571817116
John Magowan,1713.9302014224127
Mick Todd,1713.9049264973344
Gary Robson,1712.3140159342831
Beau Anderson,1712.1400803622632
Roy van de Griendt,1711.4993458178096
Anastasia Dobromyslova,1711.0476660749148
Norbert Attard,1711.001643089792
Youri Brouwer,1710.5188528356462
Ryan de Vreede,1710.4589630816472
Marcel Walpen,1709.9641775542352
David Wawrzewski,1709.3568015117937
Francois Schweyen,1709.0240688078547
Liam Meek,1709.0205156163422
Mike Zuydwijk,1708.8701685969972
Gareth Pass,1708.75278969976
Davy Richardson,1708.6201954966443
Rick Hofstra,1708.441306417987
Kevin Blomme,1708.2634949324265
Jeffrey Keen,1708.2397573807493
Charlie Large,1707.5405328956008
Patrick Peters,1707.3547253851466
Chris Thompson,1707.1826429720127
Mark Barilli,1707.1580283708636
Warren Parry,1707.034516515615
Ryan O'Connor,1707.0266685653337
Gary Mawson,1706.9046731185788
Geoffrey Murray,1706.0097022968002
Rob Szabo,1705.7197414564068
Richie Davies,1705.110223292301
Toni Alcinas,1705.0969032528126
Jan Hlavácek,1704.9770223797464
Robert Collins,1704.7575604461756
Mark Cox,1704.1326030364785
Chuck Puleo,1704.0550225096865
David Sharp,1704.0371465601797
Kevin Munch,1703.5991203326444
Lewy Williams,1703.5226025006102
Kimi Seemann,1703.3491699256776
Gary Stone,1702.9515465581314
Bradley Kirk,1702.7710134770084
Adam Mould,1702.3309680598582
Dani Kearns,1702.0881773764
Ronnie Baxter,1702.0860001352414
Corrine Hammond,1701.8993668560006
Brian Dawson,1701.5538819337294
Sietse Lap,1701.4071889978638
Charlie Martin,1701.3927092790368
Martin Stead,1700.8828081817035
