player,rating,games_played,win_prob_vs_avg,elo_equivalent
Ritchie Edhouse,2.2189589361531885,713,0.9019391574215351,1885.472648616496
Joe Cullen,2.1967274988637535,1616,0.8999552540414983,1881.610652400664
Kim Huybrechts,2.1922601121493033,1603,0.8995523100361587,1880.8345878412185
Thibault Tricole,2.1804910588329784,507,0.8984838706407651,1878.7900938762166
Steve Lennon,2.172751634256554,823,0.8977757727793519,1877.4456181215573
Adam Gawlas,2.1593036005628887,673,0.8965349683530385,1875.1094553913144
Ricardo Pietreczko,2.1527049183790266,481,0.8959212708901227,1873.9631468872005
Ryan Meikle,2.149860831894615,915,0.8956557714316277,1873.4690784607062
Connor Scutt,2.1496858242982193,611,0.8956394146998081,1873.438676527344
Ricky Evans,2.1396153300505287,1076,0.8946943737805523,1871.6892524946197
Peter Wright,2.1381058307656278,2517,0.8945520695090645,1871.427025610672
Chris Landman,2.123180174863599,473,0.8931358385021514,1868.8341736118568
Ian White,2.117051536934595,1722,0.8925494845630251,1867.769520158197
Gabriel Clemens,2.105147155939059,762,0.8914024494518504,1865.701517367463
Nick Kenny,2.0926560437721533,643,0.8901873333322162,1863.5315889326944
Stephen Burton,2.091374593309171,585,0.890062003974154,1863.3089781867322
Boris Krcmar,2.088532425499028,344,0.8897835847383353,1862.8152430680968
Justin Hood,2.0738522156280497,210,0.8883356556038254,1860.2650294120378
Max Hopp,2.0617296719595806,990,0.8871274819885895,1858.1591278832989
Kyle McKinstry,2.0569979137133148,183,0.8866528114795155,1857.3371372848776
Cameron Crabtree,2.0558855508151024,403,0.8865409713587287,1857.1439000574505
Andy Baetens,2.033982421077389,251,0.8843190988938704,1853.3389367048505
Robert Grundy,2.022229740888702,205,0.8831113723254508,1851.2972870434423
Mervyn King,2.0024630277376065,2308,0.8810554376413057,1847.8634572646883
Sam Spivey,1.9993128821686654,154,0.8807249161346912,1847.3162209295751
Jimmy van Schie,1.994534161781806,275,0.8802220045141715,1846.4860721717464
Andreas Harrysson,1.9908206202562417,302,0.8798299281239578,1845.840963934598
Owen Bates,1.9871202632614238,554,0.8794381420332948,1845.1981460850293
Dennis Priestley,1.9805098835587374,973,0.8787355054960863,1844.0498055137646
Steve Beaton,1.9655107855003402,2000,0.8771281093675514,1841.4441953056494
